﻿Title:,"Table 6 - HE Staff FTE by HE provider and activity standard occupational classification"
Subtitle:,"Academic years 2014/15 to 2024/25"
Reference ID:,DT025 Table 6
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-6
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-6.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2026
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2023/24 
Search:,


"UKPRN","HE provider","Managers, directors and senior officials","Professional occupations","Associate professional occupations","Clerical and manual occupations","Total academic staff (excluding atypical)"
"10007814","Cardiff University","25","2,975","5","0","3,005"
"10086359","Caspian School of Academics*","0","0","0","0","0"
"10007854","Cardiff Metropolitan University","0","655","0","0","660"
"10001264","Central School of Ballet*","0","10","0","0","10"
"10024024","Central Film School*","0","5","0","0","5"
"10007848","University of Chester","0","620","0","0","620"
"10007137","The University of Chichester*","0","320","0","0","320"
"10001386","Chicken Shed Theatre Company*","0","0","25","0","25"
"10001478","City St George's, University of London","0","1,095","0","0","1,095"
"10007912","Cliff College*","0","5","0","0","10"
"10066502","The College of Health Ltd*","0","10","0","0","10"
"10007761","Courtauld Institute of Art*","0","55","0","0","55"
"10034324","Court Theatre Training Company Ltd*","0","0","0","0","0"
"10001726","Coventry University","10","2,050","0","0","2,060"
"10007822","Cranfield University","0","730","5","0","735"
"10006427","University for the Creative Arts*","0","325","40","0","365"
"10007842","University of Cumbria","0","390","0","0","390"
"10015688","David Game College Ltd*","0","15","0","0","15"
"10001883","De Montfort University","0","1,175","0","0","1,175"
"10007851","University of Derby","20","1,000","40","0","1,065"
"10007852","The University of Dundee","0","1,350","0","0","1,355"
"10007143","University of Durham","0","2,055","40","0","2,100"
"10007789","The University of East Anglia","0","1,460","0","0","1,460"
"10007144","The University of East London","20","660","5","0","685"
"10032282","The Queen's Foundation for Ecumenical Theological Education*","0","15","0","0","15"
"10007823","Edge Hill University*","0","760","0","0","760"
"10007772","Edinburgh Napier University","10","750","0","0","755"
"10007790","The University of Edinburgh","10","5,120","205","0","5,340"
"10042570","Escape Studios*","0","25","0","0","25"
"10007791","The University of Essex","0","1,250","20","0","1,270"
"10007792","The University of Exeter","5","2,930","0","0","2,935"
"10008640","Falmouth University*","0","315","20","0","330"
"10004511","The National Film and Television School*","5","65","0","0","75"
"10022087","Futureworks*","0","20","0","0","20"
"10007762","Glasgow Caledonian University","0","755","0","0","755"
"10002681","Glasgow School of Art","5","115","55","0","170"
"10007794","The University of Glasgow","5","3,870","20","0","3,890"
"10007145","University of Gloucestershire*","0","470","0","0","475"
"10002718","Goldsmiths College","0","655","0","0","655"
"10006841","University of Greater Manchester*","0","485","40","0","525"
"10007146","The University of Greenwich","10","1,070","65","0","1,140"
"10007825","Guildhall School of Music and Drama","5","275","10","0","290"
"10040812","Harper Adams University*","0","190","0","0","190"
"10080811","Hartpury University","10","115","25","0","150"
"10000163","Health Sciences University*","0","75","0","0","80"
"10007764","Heriot-Watt University","0","910","5","0","915"
"10007147","University of Hertfordshire","0","1,520","0","0","1,520"
"10007148","The University of Huddersfield*","0","760","0","0","760"
"10007149","The University of Hull","0","845","0","0","845"
"10003239","ICON College of Technology and Management*","0","30","0","0","30"
"10003270","Imperial College of Science, Technology and Medicine","5","4,120","0","0","4,125"
"10057622","The School of Information Risk Management*","0","10","0","0","10"
"10013220","Institute of Art - London Limited*","0","15","0","0","15"
"10035638","Institute of Contemporary Music Performance*","0","20","0","0","20"
"10082728","INTO University Partnerships Limited*","0","180","0","0","180"
"10082570","Kaplan International Colleges U.K. Limited*","0","300","0","0","300"
"10021682","Kaplan Open Learning (Essex) Limited*","0","35","0","0","35"
"10007767","Keele University","25","795","5","0","825"
"10007150","The University of Kent","0","1,055","0","0","1,055"
