﻿Title:,"Table 1 - HE student enrolments by HE provider"
Subtitle:,"Academic years 2014/15 to 2024/25"
Reference ID:,DT051 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2026
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Entrant marker,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2024/25 
Search:,


"UKPRN","HE provider","Female","Male","Unknown","Total"
"10006299","University of Staffordshire","8,330","8,650","100","17,085"
"10008098","Study Group","635","1,310","0","1,945"
"10004747","St Hild College","75","60","0","135"
"10007804","The University of Stirling","7,190","4,490","70","11,750"
"10037449","University of St Mark and St John","2,920","1,915","10","4,850"
"10090767","St Padarn's Institute","115","90","5","210"
"10008010","Stranmillis University College","1,185","245","0","1,430"
"10022944","Stratford College London (SCL)","35","50","0","85"
"10007805","The University of Strathclyde","11,530","10,635","60","22,225"
"10014001","University of Suffolk","6,975","6,610","5","13,590"
"10007159","The University of Sunderland","11,540","8,740","0","20,280"
"10007160","The University of Surrey","8,645","7,660","130","16,430"
"10007806","The University of Sussex","9,590","7,675","25","17,290"
"10007855","Swansea University","9,810","9,045","130","18,985"
"10020381","Tavistock and Portman NHS Foundation Trust","820","165","20","1,005"
"10083403","The Engineering and Design Institute London","55","105","5","165"
"10007161","Teesside University","11,755","9,775","45","21,570"
"10082743","ThinkSpace Education Limited","30","110","5","145"
"10008017","Trinity Laban Conservatoire of Music and Dance","810","475","30","1,315"
"10007858","University of Wales Trinity Saint David","8,555","6,800","60","15,415"
"10068157","University Centre Peterborough","235","160","0","395"
"10007114","University of the Highlands and Islands","5,315","3,260","110","8,685"
"10007807","Ulster University","16,740","16,125","50","32,915"
"10039956","The University of Law","12,880","6,825","25","19,730"
"10007784","University College London","31,450","19,745","120","51,315"
"10007793","University of South Wales","10,690","9,820","280","20,790"
"10089591","Walbrook Institute London Limited","280","430","5","715"
"10029843","Waltham International College Limited","0","0","0","5"
"10007163","The University of Warwick","13,785","13,740","360","27,880"
"10007361","Waverley Abbey College","215","45","0","260"
"10007164","University of the West of England, Bristol","19,630","16,575","175","36,380"
"10007800","The University of the West of Scotland","10,525","8,540","40","19,105"
"10032288","West Dean College","205","50","5","255"
"10006566","The University of West London","9,340","8,285","65","17,690"
"10007165","The University of Westminster","12,065","8,805","70","20,940"
"10003614","The University of Winchester","4,575","2,160","105","6,840"
"10007166","The University of Wolverhampton","14,535","9,095","35","23,665"
"10007139","University of Worcester","6,135","2,570","45","8,755"
"10007833","Wrexham University","5,025","3,500","35","8,560"
"10007713","York St John University","6,830","5,200","120","12,150"
"10007167","The University of York","12,715","9,465","165","22,345"
"","Total","1,599,465","1,249,675","14,040","2,863,180"
