﻿Title:,"Table 1 - Consolidated statement of comprehensive income and expenditure"
Subtitle:,"Academic years 2015/16 to 2024/25"
Reference ID:,DT031 Table 1
Data source:,HESA / OfS
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-1.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2026
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2018/19 
,Financial Year End,All 
Search:,


"","","Income (£000s)","Expenditure (£000s)"
"UKPRN","HE Provider","Financial Year End","Tuition fees and education contracts","Funding body grants","Research grants and contracts","Other income","Investment income","Donations and endowments","Total income","Staff costs","Restructuring costs","Other operating expenses","Depreciation and amortisation","Interest and other finance costs","Total expenditure"
"10013220","Institute of Art - London Limited","2018-08-31","6,871","0","0","81","2","0","6,954","3,080","0","3,780","160","30","7,050"
"10067388","The Institute of Ismaili Studies","2018-12-31","0","0","0","19","2","14,138","14,159","6,955","0","7,448","124","0","14,527"
"10035638","Institute of Contemporary Music Performance","2019-05-31","6,393","0","0","37","0","0","6,430","3,423","0","2,507","209","72","6,211"
"10082728","INTO University Partnerships Limited","2019-07-31","18,309","0","0","71,119","1,145","0","90,573","40,919","0","31,093","3,426","(2,132)","73,306"
"10067601","JSA Education Group Ltd.","2019-07-31","0","0","0","0","0","0","0","11","0","23","0","0","34"
"10021682","Kaplan Open Learning (Essex) Limited","2018-12-31","6,319","0","0","1","0","0","6,320","1,802","26","3,349","60","0","5,237"
"10007767","Keele University","2019-07-31","80,460","22,370","17,079","46,890","1,765","280","168,844","132,985","0","59,022","7,852","4,547","204,406"
"10007150","The University of Kent","2019-07-31","163,501","29,579","19,565","52,069","938","783","266,435","203,223","6,911","90,584","21,474","4,226","326,418"
"10083476","The King's Foundation","2019-03-31","72","0","0","4,550","119","11,819","16,560","5,964","0","8,346","2,111","128","16,549"
"10003645","King's College London","2019-07-31","393,788","128,301","194,681","163,941","5,123","16,131","901,965","679,291","0","339,403","53,463","17,719","1,089,876"
"10008325","KLC School of Design","2018-08-31","3,673","0","0","31","53","0","3,757","2,084","0","1,812","86","0","3,982"
"10003678","Kingston University","2019-07-31","140,920","20,362","3,736","25,287","637","727","191,669","111,255","3,268","59,334","16,345","8,414","198,616"
"10003758","LAMDA Limited","2019-07-31","4,824","854","0","6,041","3","1,180","12,902","5,180","47","6,555","1,189","189","13,160"
"10007141","University of Lancashire","2019-07-31","159,417","32,377","7,454","34,426","1,164","0","234,838","162,044","0","76,378","8,559","2,841","249,822"
"10007768","The University of Lancaster","2019-07-31","152,193","34,003","42,041","81,809","696","8,678","319,420","220,887","61","106,871","21,091","5,031","353,941"
"10003854","Leeds Arts University","2019-07-31","17,274","3,348","0","157","55","0","20,834","11,341","0","5,917","1,292","160","18,710"
"10003861","Leeds Beckett University","2019-07-31","160,143","14,426","3,224","37,495","664","11","215,963","130,627","2,394","59,768","31,857","8,427","233,073"
"10003798","Le Cordon Bleu Limited","2018-12-31","9,414","0","0","362","13","0","9,789","2,649","0","6,010","510","341","9,510"
"10034449","Leeds Conservatoire","2019-07-31","10,987","573","0","750","1","5","12,316","8,897","68","4,160","955","197","14,277"
"10007795","The University of Leeds","2019-07-31","400,182","89,203","150,824","130,362","6,097","15,182","791,850","547,813","0","274,600","56,215","11,243","889,871"
"10003863","Leeds Trinity University","2019-07-31","26,803","1,244","58","4,741","91","1","32,938","20,893","0","8,723","2,892","685","33,193"
"10007796","The University of Leicester","2019-07-31","168,218","43,970","58,085","58,467","208","1,977","330,925","236,621","0","115,235","21,900","5,514","379,270"
"10007151","The University of Lincoln","2019-07-31","123,967","14,441","8,876","17,942","370","205","165,801","94,936","0","57,535","9,069","3,715","165,255"
"10007811","Lincoln Bishop University","2019-07-31","16,812","2,925","226","4,266","52","0","24,281","15,955","0","8,614","1,258","131","25,958"
"10003956","Liverpool Hope University","2019-07-31","41,820","3,077","487","6,387","131","396","52,298","31,873","0","13,340","4,249","1,176","50,638"
"10003957","Liverpool John Moores University","2019-07-31","185,421","21,211","9,544","4,169","952","261","221,558","140,434","0","64,100","9,621","5,646","219,801"
"10003945","The Liverpool Institute for Performing Arts","2019-07-31","8,721","2,101","0","1,271","13","40","12,146","7,028","0","3,285","805","66","11,184"
"10006842","The University of Liverpool","2019-07-31","309,014","71,117","98,653","86,377","8,517","1,882","575,560","388,147","1,984","205,351","38,584","11,088","645,154"
"10003958","Liverpool School of Tropical Medicine","2019-07-31","4,337","11,385","80,996","143,366","1,178","1,412","242,674","50,468","0","202,072","2,201","175","254,916"
"10007162","University of the Arts, London","2019-07-31","253,152","22,700","1,418","39,468","2,856","2,036","321,630","186,740","0","114,806","3,553","5,348","310,447"
"10013109","London Bridge Business Academy","2018-12-31","879","0","0","1","0","0","880","99","0","281","3","0","383"
"10007769","London Business School","2019-07-31","137,409","8,077","1,879","4,550","1,363","13,150","166,428","98,842","0","66,878","10,908","1,997","178,625"
"10007797","University of London (Institutes and activities)","2019-07-31","62,629","8,704","2,742","93,711","4,076","3,292","175,154","83,243","0","105,253","5,529","2,603","196,628"
"10039082","City and Guilds of London Art School","2018-08-31","1,881","0","0","44","22","1,003","2,950","1,437","0","1,000","53","0","2,490"
"10023434","London School of Commerce & IT Limited","2019-03-31","281","0","0","292","0","0","573","111","0","397","5","0","513"
"10004036","London Film School Limited","2018-08-31","4,174","0","0","530","1","0","4,705","1,755","0","1,973","59","0","3,787"
"10015506","The London College","2018-08-31","5,039","0","0","5","0","0","5,044","1,272","30","2,530","47","0","3,879"
"10004048","London Metropolitan University","2019-07-31","71,979","8,454","459","5,844","716","210","87,662","54,556","297","33,162","7,555","2,635","98,205"
"10032594","London School of Academics Ltd","2019-03-31","584","0","0","0","0","0","584","141","0","254","5","0","400"
"10004078","London South Bank University","2019-07-31","111,344","30,699","4,429","33,623","303","646","181,044","90,385","0","56,455","10,353","4,586","161,779"
"10004063","London School of Economics and Political Science","2019-07-31","227,406","60,132","33,267","78,140","4,667","17,190","420,802","264,809","0","124,368","13,528","9,016","411,721"
"10007771","London School of Hygiene and Tropical Medicine","2019-07-31","22,578","26,341","167,567","18,444","269","12,306","247,505","136,245","0","122,699","7,887","1,016","267,847"
"10022285","London School of Management Education","2018-08-31","1,326","0","0","1","0","0","1,327","514","0","429","37","0","980"
"10004075","London School of Theology","2018-08-31","2,304","0","0","540","343","231","3,418","1,888","0","1,579","226","0","3,693"
"10004079","London Studio Centre","2018-08-31","4,461","0","0","254","0","0","4,715","1,186","0","3,075","274","3","4,538"
"10062810","The London School of Architecture","2019-06-30","719","0","0","12","0","251","982","331","0","535","9","0","875"
"10008289","The London Institute of Banking & Finance","2019-07-31","14,828","0","0","1,941","135","18","16,922","8,487","0","9,410","191","0","18,088"
"10004035","The Film Education Training Trust Limited","2019-01-31","1,537","0","0","28","0","0","1,565","562","0","858","10","2","1,432"
"10067623","The London Interdisciplinary School Ltd","2019-07-31","0","0","0","0","0","0","0","205","0","549","0","39","793"
"10004113","Loughborough University","2019-07-31","163,832","36,076","38,927","70,473","621","1,887","311,816","221,281","0","100,868","28,174","5,830","356,153"
"10009612","Luther King House Educational Trust","2018-08-31","313","0","0","1,009","0","0","1,322","651","0","576","74","15","1,316"
