﻿Title:,"Table 1 - Consolidated statement of comprehensive income and expenditure"
Subtitle:,"Academic years 2015/16 to 2024/25"
Reference ID:,DT031 Table 1
Data source:,HESA / OfS
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-1.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2026
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2023/24 
,Financial Year End,All 
Search:,


"","","Income (£000s)","Expenditure (£000s)"
"UKPRN","HE Provider","Financial Year End","Tuition fees and education contracts","Funding body grants","Research grants and contracts","Other income","Investment income","Donations and endowments","Total income","Staff costs","Restructuring costs","Other operating expenses","Depreciation and amortisation","Interest and other finance costs","Total expenditure"
"10004511","The National Film and Television School","2024-07-31","8,091","7,495","446","5,194","0","2,234","23,460","9,475","0","10,384","1,911","146","21,916"
"10022087","Futureworks","2023-08-31","3,782","319","0","8","0","0","4,109","1,943","0","2,143","54","5","4,145"
"10042500","Global Banking School Limited","2024-02-29","11,659","0","0","224,023","373","0","236,055","58,886","0","109,914","3,321","0","172,121"
"10007762","Glasgow Caledonian University","2024-07-31","81,610","77,939","5,488","8,745","4,032","534","178,348","99,285","5,840","56,733","6,365","(3,990)","164,233"
"10002681","Glasgow School of Art","2024-07-31","23,639","15,998","1,410","4,781","1,952","0","47,780","29,338","0","16,057","2,701","22","48,118"
"10007794","The University of Glasgow","2024-07-31","395,198","182,722","221,232","111,686","40,429","7,347","958,614","236,001","0","367,445","50,326","8,443","662,215"
"10007145","University of Gloucestershire","2024-07-31","67,304","7,570","2,513","9,000","1,491","11","87,889","53,383","2,020","23,357","6,212","1,012","85,984"
"10002718","Goldsmiths College","2024-07-31","101,034","11,344","4,571","17,724","2,617","672","137,962","54,472","0","36,309","8,562","1,567","100,910"
"10006841","University of Greater Manchester","2024-07-31","84,710","37,269","237","13,540","4,068","56","139,880","75,660","2,416","58,032","6,616","1,227","143,951"
"10007146","The University of Greenwich","2024-07-31","257,356","19,719","13,978","31,258","7,038","123","329,472","148,423","417","137,618","12,704","3,272","302,434"
"10007825","Guildhall School of Music and Drama","2024-03-31","17,674","7,679","202","16,859","0","0","42,414","26,261","0","17,748","0","0","44,009"
"10040812","Harper Adams University","2024-07-31","21,980","15,912","4,774","11,203","1,217","1,260","56,346","30,585","0","19,295","5,197","600","55,677"
"10080811","Hartpury University","2024-07-31","21,488","19,105","315","14,651","130","0","55,689","29,834","0","18,671","3,625","1,298","53,428"
"10000163","Health Sciences University","2024-07-31","11,442","2,153","24","2,131","306","38","16,094","10,519","0","4,988","801","42","16,350"
"10007764","Heriot-Watt University","2024-07-31","146,858","47,064","54,863","37,543","4,672","1,278","292,278","92,315","0","126,830","20,159","2,185","241,489"
"10007147","University of Hertfordshire","2024-07-31","293,032","25,705","12,492","78,396","9,299","172","419,096","190,374","0","187,588","18,371","2,960","399,293"
"10020118","Higher Rhythm Limited","2024-03-31","0","331","0","209","5","0","545","299","0","110","45","1","455"
"10007148","The University of Huddersfield","2024-07-31","131,309","22,041","15,318","7,612","5,968","0","182,248","103,422","2,753","62,751","15,980","146","185,052"
"10007149","The University of Hull","2024-07-31","127,917","24,860","15,752","33,812","3,806","797","206,944","52,372","5,288","67,205","32,213","5,808","162,886"
"10003239","ICON College of Technology and Management","2023-09-30","8,110","651","0","0","0","0","8,761","2,738","0","5,194","88","0","8,020"
"10003270","Imperial College of Science, Technology and Medicine","2024-07-31","507,481","165,379","396,708","195,396","28,921","35,555","1,329,440","454,328","1,049","515,410","87,720","23,978","1,082,485"
"10003284","Inchbald School of Design Limited","2024-07-31","1,321","0","0","20","11","0","1,352","500","0","822","3","6","1,331"
"10057622","The School of Information Risk Management","2024-07-31","107","5","0","2,459","0","0","2,571","897","0","1,157","13","19","2,086"
"10013220","Institute of Art - London Limited","2023-08-31","8,287","5","0","1,488","71","0","9,851","3,253","0","6,019","78","102","9,452"
"10067388","The Institute of Ismaili Studies","2023-12-31","0","0","0","22","0","18,446","18,468","7,902","0","11,493","78","0","19,473"
"10035638","Institute of Contemporary Music Performance","2023-08-31","11,866","1,831","0","46","0","0","13,743","7,841","0","5,584","686","243","14,354"
"10027603","International College of Musical Theatre","2023-09-30","580","0","0","60","0","0","640","312","0","474","13","38","837"
"10082728","INTO University Partnerships Limited","2024-07-31","67,811","0","0","73,974","2,075","0","143,860","55,793","0","78,015","4,669","1,546","140,023"
"10029682","The Islamic College","2023-08-31","899","0","0","61","0","95","1,055","621","0","284","120","1","1,026"
"10067601","JSA Education Group Ltd.","2024-07-31","1,961","0","0","456","0","0","2,417","1,348","0","1,407","39","0","2,794"
"10082570","Kaplan International Colleges U.K. Limited","2023-12-30","137,644","0","0","74,805","5,393","0","217,842","57,704","0","124,015","6,382","1,455","189,556"
"10021682","Kaplan Open Learning (Essex) Limited","2023-12-31","15,802","848","0","0","0","0","16,650","4,035","0","8,613","94","0","12,742"
"10007767","Keele University","2024-07-31","102,746","33,653","19,405","48,318","2,164","810","207,096","47,029","0","75,502","13,139","6,074","141,744"
"10007150","The University of Kent","2024-07-31","158,570","28,732","16,854","61,232","1,200","1,824","268,412","80,173","4,385","99,912","20,926","6,516","211,912"
"10083476","The King's Foundation","2024-03-31","118","0","0","14,335","856","10,769","26,078","10,173","0","13,752","1,541","92","25,558"
"10003645","King's College London","2024-07-31","630,497","144,921","256,883","186,862","26,801","23,704","1,269,668","410,402","0","448,971","60,587","23,006","942,966"
"10003678","Kingston University","2024-07-31","177,009","21,373","2,495","28,627","6,664","1,392","237,560","124,483","1,083","82,383","16,109","5,622","229,680"
"10003758","LAMDA Limited","2024-07-31","6,400","2,149","0","8,049","172","1,748","18,518","6,918","0","8,688","1,622","405","17,633"
"10007141","University of Lancashire","2024-07-31","216,793","27,711","8,326","31,932","9,609","76","294,447","176,026","10,462","96,714","13,441","1,167","297,810"
"10007768","The University of Lancaster","2024-07-31","206,808","52,676","48,524","86,166","7,570","822","402,566","112,750","379","140,970","29,602","6,848","290,549"
"10003854","Leeds Arts University","2024-07-31","21,106","3,185","0","87","955","2","25,335","15,287","0","6,400","1,549","0","23,236"
"10003861","Leeds Beckett University","2024-07-31","199,362","16,239","6,585","30,745","4,254","90","257,275","141,832","10,354","79,342","23,548","4,997","260,073"
"10003798","Le Cordon Bleu Limited","2023-12-31","9,156","0","0","3,432","61","0","12,649","4,027","0","7,812","648","491","12,978"
"10034449","Leeds Conservatoire","2024-07-31","13,562","1,579","0","275","30","2","15,448","8,005","43","7,024","859","47","15,978"
"10007795","The University of Leeds","2024-07-31","565,128","101,809","190,905","150,935","36,872","8,541","1,054,190","288,077","0","382,668","68,241","15,690","754,676"
"10003863","Leeds Trinity University","2024-07-31","57,300","6,151","160","4,579","1,932","0","70,122","42,310","0","21,291","4,123","445","68,169"
"10082828","College of Legal Practice Limited","2024-06-30","1,641","1","0","232","15","0","1,889","1,814","0","833","8","0","2,655"
"10007796","The University of Leicester","2024-07-31","192,492","52,854","74,482","61,254","1,302","3,403","385,787","121,587","0","132,833","35,550","9,223","299,193"
"10007151","The University of Lincoln","2024-07-31","165,599","20,100","14,687","33,969","4,299","278","238,932","126,979","0","95,165","12,386","2,249","236,779"
"10007811","Lincoln Bishop University","2024-07-31","15,043","1,486","211","3,502","238","0","20,480","14,753","0","7,666","1,216","0","23,635"
"10036456","Academy of Live Technology Ltd","2023-12-31","1,464","600","187","1,047","0","0","3,298","1,319","0","1,246","356","1","2,922"
"10003956","Liverpool Hope University","2024-07-31","43,618","3,834","195","7,448","1,854","0","56,949","36,469","0","15,894","5,033","177","57,573"
"10003957","Liverpool John Moores University","2024-07-31","217,359","25,434","14,119","6,431","7,489","99","270,931","159,528","0","85,963","15,736","307","261,534"
"10031239","LMA","2024-06-30","0","0","0","17,805","17","0","17,822","4,293","0","17,125","628","625","22,671"
"10003945","The Liverpool Institute for Performing Arts","2024-07-31","12,025","1,401","0","745","76","19","14,266","9,185","0","3,531","1,023","0","13,739"
"10006842","The University of Liverpool","2024-07-31","367,101","93,404","123,262","102,427","15,795","6,302","708,291","200,122","0","246,142","59,355","15,534","521,153"
"10003958","Liverpool School of Tropical Medicine","2024-07-31","2,051","21,812","86,051","14,413","2,567","921","127,815","25,924","0","76,309","2,858","500","105,591"
"10007162","University of the Arts, London","2024-07-31","372,221","19,318","3,704","56,867","11,236","2,633","465,979","263,162","0","161,970","11,947","4,091","441,170"
"10013109","London Bridge Business Academy","2023-12-31","958","71","0","0","7","0","1,036","158","0","572","8","0","738"
"10007769","London Business School","2024-07-31","180,724","11,325","550","4,874","3,731","9,931","211,135","64,024","0","88,345","9,817","3,177","165,363"
"10030391","London Churchill College Ltd","2023-11-30","3,775","0","0","0","97","0","3,872","1,728","0","1,173","93","42","3,036"
"10007797","University of London (Institutes and activities)","2024-07-31","87,837","9,494","1,769","89,123","12,087","6,056","206,366","35,442","0","128,790","8,305","3,561","176,098"
"10039082","City and Guilds of London Art School","2023-08-31","2,846","0","0","52","60","717","3,675","1,993","0","1,485","54","17","3,549"
"10023434","London School of Commerce & IT Limited","2024-03-31","346","0","0","6,039","0","0","6,385","429","0","3,505","8","21","3,963"
"10004036","London Film School Limited","2023-08-31","5,704","1,579","0","625","47","0","7,955","3,124","0","3,216","92","42","6,474"
"10015506","The London College","2024-07-31","5,062","0","0","273","0","0","5,335","1,621","0","3,046","75","0","4,742"
"10004048","London Metropolitan University","2024-07-31","129,871","14,313","1,124","10,866","4,991","23","161,188","71,053","381","76,860","10,625","(348)","158,571"
"10032594","London School of Academics Ltd","2024-03-31","778","0","0","0","0","0","778","259","0","320","3","0","582"
"10004078","London South Bank University","2024-07-31","137,607","40,850","5,730","21,823","1,133","392","207,535","112,953","4,536","79,271","15,773","3,010","215,543"
"10004063","London School of Economics and Political Science","2024-07-31","316,438","26,818","42,732","83,793","11,680","49,261","530,722","156,291","0","163,356","17,483","12,432","349,562"
"10007771","London School of Hygiene and Tropical Medicine","2024-07-31","24,683","34,889","169,968","14,759","4,770","6,193","255,262","66,330","0","111,238","12,401","1,940","191,909"
"10022285","London School of Management Education","2023-08-31","4,727","222","0","1","19","0","4,969","1,381","0","2,137","119","3","3,640"
"10004075","London School of Theology","2023-08-31","2,024","51","0","497","274","203","3,049","2,377","0","1,174","209","0","3,760"
"10004079","London Studio Centre","2024-07-31","4,152","0","0","322","0","0","4,474","1,551","0","3,173","274","3","5,001"
"10029147","London School of Jewish Studies","2024-07-31","177","50","0","700","13","861","1,801","814","0","1,045","31","0","1,890"
"10062810","The London School of Architecture","2024-06-30","986","14","0","15","0","396","1,411","450","0","1,124","42","2","1,618"
"10065543","London Brookes College","2024-03-31","1,019","0","0","232","4","0","1,255","267","0","652","1","66","986"
"10004035","The Film Education Training Trust Limited","2024-01-31","3,444","0","0","62","23","0","3,529","1,516","0","1,864","45","0","3,425"
"10067623","The London Interdisciplinary School Ltd","2024-06-30","1,236","78","0","249","347","0","1,910","2,853","0","2,391","68","255","5,567"
"10091282","London School of Innovation Ltd","2024-07-31","0","0","0","0","0","0","0","0","0","5","0","0","5"
"10004113","Loughborough University","2024-07-31","186,809","43,094","47,818","86,418","7,468","1,929","373,536","96,183","0","128,521","30,738","5,802","261,244"
"10009612","Luther King House Educational Trust","2023-08-31","190","8","0","1,092","0","0","1,290","595","0","589","44","18","1,246"
"10042679","International Business College Manchester Limited","2024-01-31","799","0","0","0","0","0","799","242","0","499","5","3","749"
"10004180","The Manchester Metropolitan University","2024-07-31","353,784","34,445","20,227","45,406","5,802","862","460,526","253,438","0","156,016","39,015","(4,133)","444,336"
"10007798","The University of Manchester","2024-07-31","714,298","150,980","287,850","172,137","31,212","8,306","1,364,783","392,327","1,006","503,679","97,473","29,552","1,024,037"
"10009527","Istituto Marangoni Limited","2024-06-30","27,985","0","0","0","749","0","28,734","3,444","0","14,460","453","0","18,357"
"10023452","The Markfield Institute of Higher Education","2023-12-31","527","0","0","6","10","68","611","435","0","234","1","0","670"
"10023453","Matrix College of Counselling and Psychotherapy Ltd","2023-08-31","555","50","0","6","0","0","611","241","0","243","13","0","497"
"10020416","Missio Dei","2024-06-30","662","38","0","620","4","1,694","3,018","1,246","0","1,876","45","0","3,167"
"10083397","College of Medicine and Dentistry","2023-08-31","5,880","0","0","335","16","0","6,231","3,321","0","3,264","103","218","6,906"
"10030776","St Mellitus College","2024-07-31","3,230","52","20","260","23","232","3,817","961","0","2,968","21","0","3,950"
"10004320","The Metanoia Institute","2023-08-31","5,182","38","169","519","50","0","5,958","4,346","0","1,288","83","0","5,717"
"10004351","Middlesex University","2024-07-31","146,789","14,140","3,436","28,719","3,418","229","196,731","113,768","7,331","80,998","12,311","3,567","217,975"
"10032277","The Minster Centre","2024-06-30","1,651","0","0","137","13","1","1,802","1,326","0","559","11","1","1,897"
"10049370","MLA College","2023-09-30","1,107","0","0","0","0","0","1,107","1,178","0","1,108","196","1","2,483"
"10004450","Mountview Academy of Theatre Arts","2023-08-31","6,825","92","0","1,066","5","515","8,503","4,531","0","3,985","509","796","9,821"
