﻿Title:,"Table 1 - Consolidated statement of comprehensive income and expenditure"
Subtitle:,"Academic years 2015/16 to 2024/25"
Reference ID:,DT031 Table 1
Data source:,HESA / OfS
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-1.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2026
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2015/16 
,Financial Year End,All 
Search:,


"","","Income (£000s)","Expenditure (£000s)"
"UKPRN","HE Provider","Tuition fees and education contracts","Funding body grants","Research grants and contracts","Other income","Investment income","Donations and endowments","Total income","Staff costs","Restructuring costs","Other operating expenses","Depreciation and amortisation","Interest and other finance costs","Total expenditure"
"10004797","The Nottingham Trent University","204,949","21,955","5,913","24,349","862","509","258,537","144,272","0","74,049","15,321","8,831","242,473"
"10007773","The Open University","247,995","123,052","15,348","44,251","41,820","2,738","475,204","273,977","12,278","121,311","7,053","2,119","416,738"
"10004930","Oxford Brookes University","126,997","15,382","4,314","44,896","319","731","192,639","96,037","0","58,856","15,925","8,538","179,356"
"10007774","The University of Oxford","293,494","192,494","537,412","212,993","8,800","76,600","1,321,793","680,283","0","556,346","87,101","12,772","1,336,502"
"10005127","Arts University Plymouth","10,693","3,746","0","449","14","0","14,902","7,726","0","5,012","798","381","13,917"
"10007801","University of Plymouth","152,293","33,607","14,099","37,989","424","775","239,187","133,974","0","80,566","11,918","5,709","232,167"
"10007155","The University of Portsmouth","171,374","21,992","6,519","24,618","613","117","225,233","124,487","0","68,152","14,705","3,935","211,279"
"10005337","Queen Margaret University, Edinburgh","12,738","15,313","1,759","6,593","29","188","36,620","21,884","0","10,158","4,787","1,618","38,447"
"10007775","Queen Mary University of London","179,573","73,762","101,482","47,622","732","2,322","405,493","232,061","0","133,141","24,233","3,584","393,019"
"10005389","Ravensbourne University London","19,035","4,890","19","1,195","134","0","25,273","11,027","0","11,602","1,858","385","24,872"
"10007802","The University of Reading","152,481","31,020","32,721","49,870","4,043","74,633","344,768","158,623","0","100,646","24,262","5,242","288,773"
"10005500","Robert Gordon University","34,291","43,972","2,421","15,884","295","550","97,413","59,035","3,705","32,627","7,976","2,457","105,800"
"10007776","Roehampton University","72,468","10,266","1,562","20,775","82","338","105,491","54,356","0","34,612","3,921","3,832","96,721"
"10005523","Rose Bruford College of Theatre and Performance","5,954","1,819","0","1,650","4","29","9,456","4,849","0","4,026","495","53","9,423"
"10007835","Royal Academy of Music","9,229","3,584","22","1,427","1,376","11,615","27,253","10,109","0","7,562","721","164","18,556"
"10005545","Royal Agricultural University","10,702","2,297","375","4,790","43","44","18,251","8,107","0","8,090","774","539","17,510"
"10007777","Royal College of Art","23,120","13,531","3,446","3,359","251","2,698","46,405","18,459","0","21,941","2,631","179","43,210"
"10007778","Royal College of Music","11,568","4,013","557","2,297","1,687","4,297","24,419","12,348","0","7,920","1,316","230","21,814"
"10005561","Royal Conservatoire of Scotland","8,131","11,381","143","637","117","213","20,622","15,479","0","4,355","880","0","20,714"
"10007816","The Royal Central School of Speech and Drama","10,676","3,968","52","759","98","360","15,913","8,827","0","4,538","619","236","14,220"
"10005553","Royal Holloway and Bedford New College","96,764","20,415","16,309","26,829","1,903","1,319","163,539","84,795","0","53,529","11,995","2,911","153,230"
"10007837","Royal Northern College of Music","9,493","4,496","150","2,796","739","3,141","20,815","10,708","0","6,383","1,103","472","18,666"
