﻿Title:,"Table 1 - HE staff by HE provider and activity standard occupational classification"
Subtitle:,"Academic years 2014/15 to 2024/25"
Reference ID:,DT025 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2026
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Academic year,2015/16 
Search:,


"UKPRN","HE provider","Managers, directors and senior officials","Professional occupations","Associate professional occupations","Clerical and manual occupations","Total academic staff"
"10007792","The University of Exeter","0","1,865","5","0","1,870"
"10008640","Falmouth University","0","245","20","0","265"
"10004511","The National Film and Television School","0","15","0","0","15"
"10007762","Glasgow Caledonian University","0","795","0","0","795"
"10002681","Glasgow School of Art","0","190","10","0","200"
"10007794","The University of Glasgow","0","3,650","10","0","3,665"
"10007145","University of Gloucestershire","0","635","5","0","635"
"10002718","Goldsmiths College","0","975","10","0","990"
"10006841","University of Greater Manchester","0","300","25","0","330"
"10007146","The University of Greenwich","10","1,225","5","0","1,240"
"10007825","Guildhall School of Music and Drama","10","605","10","0","625"
"10040812","Harper Adams University","0","155","0","0","155"
"10007764","Heriot-Watt University","0","820","5","0","825"
"10007147","University of Hertfordshire","5","1,485","10","0","1,505"
"10007765","Heythrop College","0","60","0","0","60"
"10007148","The University of Huddersfield","0","870","0","0","870"
"10007149","The University of Hull","5","1,025","0","0","1,030"
"10003270","Imperial College of Science, Technology and Medicine","5","4,365","5","0","4,370"
"10007767","Keele University","0","795","0","0","800"
"10007150","The University of Kent","0","1,990","0","0","1,990"
"10003645","King's College London","0","4,685","30","0","4,710"
"10003678","Kingston University","15","1,020","0","0","1,035"
"10007141","University of Lancashire","0","1,370","65","0","1,440"
"10007768","The University of Lancaster","0","1,870","5","0","1,880"
"10003854","Leeds Arts University","0","160","5","0","165"
"10003861","Leeds Beckett University","0","1,490","0","0","1,490"
"10007795","The University of Leeds","5","3,330","10","0","3,345"
"10003863","Leeds Trinity University","0","155","5","0","160"
"10007796","The University of Leicester","0","1,700","15","0","1,715"
"10007151","The University of Lincoln","0","995","0","0","995"
