﻿Title:,"Table 6 - HE Staff FTE by HE provider and activity standard occupational classification"
Subtitle:,"Academic years 2014/15 to 2024/25"
Reference ID:,DT025 Table 6
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-6
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-6.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2026
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2018/19 
Search:,


"UKPRN","HE provider","Managers, directors and senior officials","Professional occupations","Associate professional occupations","Clerical and manual occupations","Total academic staff (excluding atypical)"
"10007164","University of the West of England, Bristol","0","1,505","10","0","1,510"
"10007800","The University of the West of Scotland","5","560","20","0","580"
"10006566","The University of West London","0","575","0","0","580"
"10007165","The University of Westminster","0","830","0","0","830"
"10003614","The University of Winchester","0","455","0","0","455"
"10007166","The University of Wolverhampton","0","860","0","0","860"
"10007139","University of Worcester","5","440","10","0","450"
"10007833","Wrexham University","0","170","0","0","170"
"10007657","Writtle University College","0","85","0","0","85"
"10007713","York St John University","10","315","10","0","335"
"10007167","The University of York","0","1,780","0","0","1,780"
"","Total","500","169,670","1,280","0","171,450"
